date,store_id,category,is_promotion,foot_traffic,marketing_spend_usd,revenue_usd
2023-01-01,Store-North,Electronics,0,65,16.46,1527.16
2023-01-01,Store-North,Apparel,0,58,21.72,1236.02
2023-01-01,Store-North,Home & Kitchen,1,63,112.91,1355.33
2023-01-01,Store-North,Beauty,0,36,19.95,962.61
2023-01-01,Store-South,Electronics,0,61,21.71,1425.37
2023-01-01,Store-South,Apparel,0,54,24.14,925.14
2023-01-01,Store-South,Home & Kitchen,1,49,182.67,1603.08
2023-01-01,Store-South,Beauty,0,44,48.97,1188.91
2023-01-01,Store-East,Electronics,0,45,16.64,1518.78
2023-01-01,Store-East,Apparel,0,48,27.14,1062.9
2023-01-01,Store-East,Home & Kitchen,0,32,37.53,979.76
2023-01-01,Store-East,Beauty,1,82,158.5,1340.85
2023-01-01,Store-West,Electronics,0,51,2.68,1682.17
2023-01-01,Store-West,Apparel,0,36,47.11,1153.46
2023-01-01,Store-West,Home & Kitchen,0,28,4.15,930.99
2023-01-01,Store-West,Beauty,0,47,14.84,1211.27
2023-01-02,Store-North,Electronics,0,48,48.84,1027.28
2023-01-02,Store-North,Apparel,0,34,39.83,722.12
2023-01-02,Store-North,Home & Kitchen,0,29,16.98,829.23
2023-01-02,Store-North,Beauty,1,39,295.08,1131.04
2023-01-02,Store-South,Electronics,0,42,27.53,1151.12
2023-01-02,Store-South,Apparel,0,24,17.55,794.93
2023-01-02,Store-South,Home & Kitchen,0,30,36.12,875.6
2023-01-02,Store-South,Beauty,0,27,19.48,876.31
2023-01-02,Store-East,Electronics,0,69,27.79,1347.61
2023-01-02,Store-East,Apparel,1,58,87.34,1193.01
2023-01-02,Store-East,Home & Kitchen,1,58,57.0,1107.65
2023-01-02,Store-East,Beauty,0,38,41.03,802.24
2023-01-02,Store-West,Electronics,0,52,25.79,1099.91
2023-01-02,Store-West,Apparel,1,52,237.21,1024.17
2023-01-02,Store-West,Home & Kitchen,0,25,32.0,722.99
2023-01-02,Store-West,Beauty,0,54,13.55,906.25
2023-01-03,Store-North,Electronics,0,34,26.95,1125.28
2023-01-03,Store-North,Apparel,0,28,7.88,879.49
2023-01-03,Store-North,Home & Kitchen,1,39,117.75,1259.13
2023-01-03,Store-North,Beauty,0,22,10.94,774.47
2023-01-03,Store-South,Electronics,0,46,49.88,1280.32
2023-01-03,Store-South,Apparel,1,52,182.66,1263.11
2023-01-03,Store-South,Home & Kitchen,0,29,13.53,802.47
2023-01-03,Store-South,Beauty,0,23,32.25,729.65
2023-01-03,Store-East,Electronics,0,44,44.06,1311.39
2023-01-03,Store-East,Apparel,0,50,8.77,777.53
2023-01-03,Store-East,Home & Kitchen,0,19,19.98,685.84
2023-01-03,Store-East,Beauty,0,35,19.28,796.72
2023-01-03,Store-West,Electronics,0,55,23.7,1373.9
2023-01-03,Store-West,Apparel,1,47,132.32,1177.17
2023-01-03,Store-West,Home & Kitchen,0,49,14.91,871.47
2023-01-03,Store-West,Beauty,1,68,146.57,1201.2
2023-01-04,Store-North,Electronics,0,76,6.46,1341.41
2023-01-04,Store-North,Apparel,0,47,46.36,790.92
2023-01-04,Store-North,Home & Kitchen,0,28,34.01,836.69
2023-01-04,Store-North,Beauty,0,36,15.64,722.77
2023-01-04,Store-South,Electronics,0,62,35.25,1154.93
2023-01-04,Store-South,Apparel,0,42,46.72,880.3
2023-01-04,Store-South,Home & Kitchen,0,44,9.48,831.64
2023-01-04,Store-South,Beauty,0,50,36.17,780.86
2023-01-04,Store-East,Electronics,0,57,39.77,1358.57
2023-01-04,Store-East,Apparel,0,42,7.64,723.22
2023-01-04,Store-East,Home & Kitchen,0,34,38.07,723.73
2023-01-04,Store-East,Beauty,1,64,51.31,1130.83
2023-01-04,Store-West,Electronics,1,55,271.69,1706.1
2023-01-04,Store-West,Apparel,0,38,14.97,682.73
2023-01-04,Store-West,Home & Kitchen,0,30,36.08,911.79
2023-01-04,Store-West,Beauty,1,33,277.82,1069.32
2023-01-05,Store-North,Electronics,1,83,209.49,1839.65
2023-01-05,Store-North,Apparel,0,31,11.86,712.01
2023-01-05,Store-North,Home & Kitchen,0,23,18.84,717.35
2023-01-05,Store-North,Beauty,1,42,77.86,1065.62
2023-01-05,Store-South,Electronics,0,62,42.83,1088.14
2023-01-05,Store-South,Apparel,1,34,213.43,1029.61
2023-01-05,Store-South,Home & Kitchen,0,21,40.44,718.76
2023-01-05,Store-South,Beauty,0,50,19.74,881.71
2023-01-05,Store-East,Electronics,1,72,80.56,1590.38
2023-01-05,Store-East,Apparel,0,29,22.4,915.99
2023-01-05,Store-East,Home & Kitchen,0,45,2.46,853.09
2023-01-05,Store-East,Beauty,1,60,153.68,985.19
2023-01-05,Store-West,Electronics,0,64,1.85,1179.1
2023-01-05,Store-West,Apparel,0,60,39.34,907.13
2023-01-05,Store-West,Home & Kitchen,0,35,23.12,819.28
2023-01-05,Store-West,Beauty,0,36,18.61,834.17
2023-01-06,Store-North,Electronics,0,58,49.91,1198.52
2023-01-06,Store-North,Apparel,0,34,10.76,767.04
2023-01-06,Store-North,Home & Kitchen,0,25,7.53,683.1
