customer_id,tenure_months,contract_type,monthly_charges,total_charges,support_tickets_count,avg_monthly_logins,used_premium_features,payment_method,income_bracket,last_nps_score,churned
CUST-1001,41,Month-to-Month,155.06,5955.25,0,7,0,Electronic Check,50k-100k,1,1
CUST-1002,39,Month-to-Month,62.8,2443.03,1,15,1,Electronic Check,50k-100k,1,1
CUST-1003,28,Month-to-Month,55.43,1619.68,0,6,1,Credit Card,50k-100k,6,0
CUST-1004,47,Month-to-Month,50.22,2450.85,0,19,1,Electronic Check,<50k,2,1
CUST-1005,19,Two-Year,174.4,3412.92,0,30,1,Credit Card,50k-100k,4,0
CUST-1006,44,One-Year,132.55,5398.7,2,11,1,Bank Transfer,50k-100k,9,0
CUST-1007,4,Month-to-Month,34.46,130.58,0,14,1,Credit Card,100k-150k,,0
CUST-1008,10,Month-to-Month,70.93,698.1,0,38,1,Electronic Check,50k-100k,,1
CUST-1009,32,Month-to-Month,37.01,1085.37,1,28,0,Bank Transfer,50k-100k,8,0
CUST-1010,1,One-Year,48.47,50.06,2,22,0,Bank Transfer,50k-100k,8,0
CUST-1011,47,Month-to-Month,114.1,4970.14,4,20,0,Credit Card,50k-100k,3,0
CUST-1012,34,Two-Year,130.82,4329.08,0,24,1,Credit Card,<50k,,0
CUST-1013,32,One-Year,195.26,6122.77,0,31,0,Bank Transfer,50k-100k,10,0
CUST-1014,35,One-Year,146.28,5155.34,0,24,1,Electronic Check,50k-100k,4,0
CUST-1015,38,One-Year,129.03,4418.11,2,4,0,Credit Card,,6,1
CUST-1016,43,Month-to-Month,120.67,5232.93,3,37,1,Credit Card,>150k,7,1
CUST-1017,28,Month-to-Month,98.89,2850.81,0,7,0,Bank Transfer,>150k,2,1
CUST-1018,29,Month-to-Month,60.19,1692.09,3,5,1,Electronic Check,<50k,9,0
CUST-1019,16,Month-to-Month,111.56,1663.69,1,4,0,Bank Transfer,<50k,7,0
CUST-1020,30,Month-to-Month,147.42,4464.95,2,32,0,Credit Card,50k-100k,1,0
CUST-1021,48,Month-to-Month,37.52,1749.67,4,34,0,Credit Card,,,1
CUST-1022,5,One-Year,68.98,316.61,3,16,0,Electronic Check,<50k,10,1
CUST-1023,17,Month-to-Month,150.75,2398.23,0,20,1,Bank Transfer,,2,0
CUST-1024,37,Two-Year,41.45,1429.32,0,23,0,Credit Card,50k-100k,3,0
CUST-1025,20,One-Year,196.83,3929.11,0,36,1,Electronic Check,<50k,3,0
CUST-1026,48,One-Year,75.3,3580.87,2,14,1,Electronic Check,50k-100k,1,0
CUST-1027,18,Month-to-Month,85.7,1418.61,5,11,1,Electronic Check,>150k,9,1
CUST-1028,45,Two-Year,121.75,5616.76,1,10,1,Credit Card,<50k,,0
CUST-1029,3,Two-Year,64.71,181.98,0,36,1,Electronic Check,>150k,,0
CUST-1030,12,Two-Year,33.21,402.7,0,27,0,Bank Transfer,<50k,2,1
CUST-1031,31,Month-to-Month,167.82,5041.38,0,15,0,Credit Card,100k-150k,7,0
CUST-1032,18,Month-to-Month,115.6,2084.81,3,22,0,Credit Card,,5,0
CUST-1033,17,Month-to-Month,130.42,2110.39,2,28,0,Bank Transfer,,4,0
CUST-1034,1,Month-to-Month,166.11,166.61,4,13,1,Bank Transfer,<50k,6,1
